time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3
0.423175,0,0,0,0
0.424913,0,0,0,0
0.426643,0,0,0,0
0.428369,0,0,0,0
0.430098,0,0,0,0
0.431824,0,0,0,0
0.433603,0,0,0,0
0.435345,0,0,0,0
0.437084,0,0,0,0
0.438810,0,0,0,0
0.440548,0,0,0,0
0.442296,0,0,0,0
0.444035,0,0,0,0
0.445776,0,0,0,0
0.447522,0,0,0,0
0.449263,0,0,0,0
0.450991,0,0,0,0
0.452729,0,0,0,0
0.454523,0,0,0,0
0.456250,0,0,0,0
0.457992,0,0,0,0
0.459717,0,0,0,0
0.461455,0,0,0,0
0.463216,0,0,0,0
0.464960,0,0,0,0
0.466689,0,0,0,0
0.468417,0,0,0,0
0.470143,0,0,0,0
0.471870,0,0,0,0
0.473633,0,0,0,0
0.475388,0,0,0,0
0.477127,0,0,0,0
0.478854,0,0,0,0
0.480589,0,0,0,0
0.482342,0,0,0,0
0.484085,0,0,0,0
0.485825,0,0,0,0
0.487560,0,0,0,0
0.489299,0,0,0,0
0.491025,0,0,0,0
0.492762,0,0,0,0
0.494557,0,0,0,0
0.496283,0,0,0,0
0.498013,0,0,0,0
0.499742,0,0,0,0
0.501484,0,0,0,0
0.503255,0,0,0,0
0.504993,0,0,0,0
0.506721,0,0,0,0
0.508449,0,0,0,0
0.510176,0,0,0,0
0.511903,0,0,0,0
0.513669,0,0,0,0
0.515439,0,0,0,0
0.517177,0,0,0,0
0.518903,0,0,0,0
0.520640,0,0,0,0
0.522385,0,0,0,0
0.524132,0,0,0,0
0.525874,0,0,0,0
0.527603,0,0,0,0
0.529340,0,0,0,0
0.531067,0,0,0,0
0.532805,0,0,0,0
0.534601,0,0,0,0
0.536329,0,0,0,0
0.538056,0,0,0,0
0.539782,0,0,0,0
0.541524,0,0,0,0
0.543294,0,0,0,0
0.545033,0,0,0,0
0.546763,0,0,0,0
0.548500,0,0,0,0
0.550233,0,0,0,0
0.551959,0,0,0,0
0.553719,0,0,0,0
0.555468,0,0,0,0
0.557206,0,0,0,0
0.558933,0,0,0,0
0.560672,0,0,0,0
0.562417,0,0,0,0
0.564159,0,0,0,0
0.565899,0,0,0,0
0.567635,0,0,0,0
0.569374,0,0,0,0
0.571102,0,0,0,0
0.572839,0,0,0,0
0.574647,0,0,0,0
0.576377,0,0,0,0
0.578103,0,0,0,0
0.579832,0,0,0,0
0.581575,0,0,0,0
0.583329,0,0,0,0
0.585067,0,0,0,0
0.586797,0,0,0,0
0.588534,0,0,0,0
0.590262,0,0,0,0
0.591991,0,0,0,0
0.593745,0,0,0,0
0.595522,0,0,0,0
0.597264,0,0,0,0
0.598991,0,0,0,0
0.600728,0,0,0,0
0.602468,0,0,0,0
0.604223,0,0,0,0
0.605963,0,0,0,0
0.607693,0,0,0,0
0.609432,0,0,0,0
0.611160,0,0,0,0
0.612898,0,0,0,0
0.614676,0,0,0,0
0.616405,0,0,0,0
0.618131,0,0,0,0
0.619859,0,0,0,0
0.621600,0,0,0,0
0.623357,0,0,0,0
0.625099,0,0,0,0
0.626828,0,0,0,0
0.628566,0,0,0,0
0.630294,0,0,0,0
0.632021,0,0,0,0
0.633766,0,0,0,0
0.635547,0,0,0,0
0.637288,0,0,0,0
0.639015,0,0,0,0
0.640759,0,0,0,0
0.642491,0,0,0,0
0.644241,0,0,0,0
0.645981,0,0,0,0
0.647709,0,0,0,0
0.649451,0,0,0,0
0.651176,0,0,0,0
0.652916,0,0,0,0
0.654687,0,0,0,0
0.656415,0,0,0,0
0.658141,0,0,0,0
0.659865,0,0,0,0
0.661607,0,0,0,0
0.663360,0,0,0,0
0.665105,0,0,0,0
0.666834,0,0,0,0
0.668674,0,0,0,0
0.670404,0,0,0,0
0.672129,0,0,0,0
0.673874,0,0,0,0
0.675654,0,0,0,0
0.677392,0,0,0,0
0.679119,0,0,0,0
0.680855,0,0,0,0
0.682584,0,0,0,0
0.684346,0,0,0,0
0.686072,0,0,0,0
0.687804,0,0,0,0
0.689547,0,0,0,0
0.691275,0,0,0,0
0.693010,0,0,0,0
0.694775,0,0,0,0
0.696528,0,0,0,0
0.698253,0,0,0,0
0.699989,0,0,0,0
0.701730,0,0,0,0
0.703484,0,0,0,0
0.705228,0,0,0,0
0.706956,0,0,0,0
0.708694,0,0,0,0
0.710419,0,0,0,0
0.712145,0,0,0,0
0.713886,0,0,0,0
0.715665,0,0,0,0
0.717404,0,0,0,0
0.719128,0,0,0,0
0.720865,0,0,0,0
0.722592,0,0,0,0
0.724359,0,0,0,0
0.726080,0,0,0,0
0.727807,0,0,0,0
0.729574,0,0,0,0
0.731303,0,0,0,0
0.733048,0,0,0,0
0.734803,0,0,0,0
0.736581,0,0,0,0
0.738844,0,0,0,0
0.741198,0,0,0,0
0.743473,0,0,0,0
0.745777,0,0,0,0
0.748047,0,0,0,0
0.750330,0,0,0,0
0.752618,0,0,0,0
0.754886,0,0,0,0
0.757175,0,0,0,0
0.759437,0,0,0,0
0.761940,0,0,0,0
0.764209,0,0,0,0
0.766489,0,0,0,0
0.768771,0,0,0,0
0.771023,0,0,0,0
0.773314,0,0,0,0
0.775615,0,0,0,0
0.777902,0,0,0,0
0.780153,0,0,0,0
0.782435,0,0,0,0
0.784756,0,0,0,0
0.787032,0,0,0,0
0.789324,0,0,0,0
0.791787,0,0,0,0
0.794084,0,0,0,0
0.796399,0,0,0,0
0.798673,0,0,0,0
0.800980,0,0,0,0
0.803270,0,0,0,0
0.805582,0,0,0,0
0.807849,0,0,0,0
0.810131,0,0,0,0
0.812400,0,0,0,0
0.814675,0,0,0,0
0.817029,0,0,0,0
0.819302,0,0,0,0
0.821596,0,0,0,0
0.823872,0,0,0,0
0.826167,0,0,0,0
0.828423,0,0,0,0
0.830711,0,0,0,0
0.833029,0,0,0,0
0.835359,0,0,0,0
0.837699,0,0,0,0
0.839991,0,0,0,0
0.842301,0,0,0,0
0.844626,0,0,0,0
0.846874,0,0,0,0
0.849140,0,0,0,0
0.851307,0,0,0,0
0.853451,0,0,0,0
0.855203,0,0,0,0
0.856976,0,0,0,0
0.858703,0,0,0,0
0.860432,0,0,0,0
0.862159,0,0,0,0
0.863902,0,0,0,0
0.865651,0,0,0,0
0.867379,0,0,0,0
0.869118,0,0,0,0
0.870845,0,0,0,0
0.872581,0,0,0,0
0.874308,0,0,0,0
0.876104,0,0,0,0
0.877849,0,0,0,0
0.879577,0,0,0,0
0.881316,0,0,0,0
0.883043,0,0,0,0
0.884816,0,0,0,0
0.886545,0,0,0,0
0.888271,0,0,0,0
0.890005,0,0,0,0
0.891733,0,0,0,0
0.893475,0,0,0,0
0.895220,0,0,0,0
0.896999,0,0,0,0
0.898726,0,0,0,0
0.900461,0,0,0,0
0.902190,0,0,0,0
0.903940,0,0,0,0
0.905704,0,0,0,0
0.907434,0,0,0,0
0.909172,0,0,0,0
0.910898,0,0,0,0
0.912636,0,0,0,0
0.914364,0,0,0,0
0.916138,0,0,0,0
0.917881,0,0,0,0
0.919608,0,0,0,0
0.921370,0,0,0,0
0.923099,0,0,0,0
0.924875,0,0,0,0
0.926603,0,0,0,0
0.928331,0,0,0,0
0.930057,0,0,0,0
0.931783,0,0,0,0
0.933527,0,0,0,0
0.935272,0,0,0,0
0.937036,0,0,0,0
0.938765,0,0,0,0
0.940506,0,0,0,0
0.942233,0,0,0,0
0.943977,0,0,0,0
0.945737,0,0,0,0
0.947465,0,0,0,0
0.949202,0,0,0,0
0.950929,0,0,0,0
0.952667,0,0,0,0
0.954393,0,0,0,0
0.956189,0,0,0,0
0.957931,0,0,0,0
0.959660,0,0,0,0
0.961399,0,0,0,0
0.963127,0,0,0,0
0.964898,0,0,0,0
0.966628,0,0,0,0
0.968355,0,0,0,0
0.970081,0,0,0,0
