time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3
0.423209,0,0,0,0
0.424937,0,0,0,0
0.426677,0,0,0,0
0.428453,0,0,0,0
0.430209,0,0,0,0
0.431939,0,0,0,0
0.433667,0,0,0,0
0.435395,0,0,0,0
0.437122,0,0,0,0
0.438863,0,0,0,0
0.440590,0,0,0,0
0.442348,0,0,0,0
0.444076,0,0,0,0
0.445804,0,0,0,0
0.447560,0,0,0,0
0.449355,0,0,0,0
0.451099,0,0,0,0
0.452828,0,0,0,0
0.454567,0,0,0,0
0.456295,0,0,0,0
0.458037,0,0,0,0
0.459765,0,0,0,0
0.461503,0,0,0,0
0.463252,0,0,0,0
0.464981,0,0,0,0
0.466723,0,0,0,0
0.468522,0,0,0,0
0.470278,0,0,0,0
0.472008,0,0,0,0
0.473735,0,0,0,0
0.475462,0,0,0,0
0.477189,0,0,0,0
0.478931,0,0,0,0
0.480658,0,0,0,0
0.482414,0,0,0,0
0.484147,0,0,0,0
0.485884,0,0,0,0
0.487623,0,0,0,0
0.489388,0,0,0,0
0.491133,0,0,0,0
0.492860,0,0,0,0
0.494599,0,0,0,0
0.496327,0,0,0,0
0.498065,0,0,0,0
0.499793,0,0,0,0
0.501529,0,0,0,0
0.503281,0,0,0,0
0.505009,0,0,0,0
0.506749,0,0,0,0
0.508544,0,0,0,0
0.510305,0,0,0,0
0.512035,0,0,0,0
0.513782,0,0,0,0
0.515510,0,0,0,0
0.517238,0,0,0,0
0.518979,0,0,0,0
0.520707,0,0,0,0
0.522466,0,0,0,0
0.524194,0,0,0,0
0.525932,0,0,0,0
0.527671,0,0,0,0
0.529464,0,0,0,0
0.531209,0,0,0,0
0.532938,0,0,0,0
0.534677,0,0,0,0
0.536404,0,0,0,0
0.538142,0,0,0,0
0.539870,0,0,0,0
0.541603,0,0,0,0
0.543352,0,0,0,0
0.545081,0,0,0,0
0.546820,0,0,0,0
0.548586,0,0,0,0
0.550346,0,0,0,0
0.552076,0,0,0,0
0.553805,0,0,0,0
0.555533,0,0,0,0
0.557261,0,0,0,0
0.559003,0,0,0,0
0.560731,0,0,0,0
0.562489,0,0,0,0
0.564216,0,0,0,0
0.565954,0,0,0,0
0.567687,0,0,0,0
0.569450,0,0,0,0
0.571202,0,0,0,0
0.572930,0,0,0,0
0.574673,0,0,0,0
0.576401,0,0,0,0
0.578139,0,0,0,0
0.579866,0,0,0,0
0.581596,0,0,0,0
0.583360,0,0,0,0
0.585109,0,0,0,0
0.586864,0,0,0,0
0.588636,0,0,0,0
0.590390,0,0,0,0
0.592121,0,0,0,0
0.593848,0,0,0,0
0.595574,0,0,0,0
0.597299,0,0,0,0
0.599043,0,0,0,0
0.600769,0,0,0,0
0.602520,0,0,0,0
0.604246,0,0,0,0
0.605986,0,0,0,0
0.607713,0,0,0,0
0.609731,0,0,0,0
0.611463,0,0,0,0
0.613190,0,0,0,0
0.614947,0,0,0,0
0.616676,0,0,0,0
0.618414,0,0,0,0
0.620142,0,0,0,0
0.621881,0,0,0,0
0.623624,0,0,0,0
0.625352,0,0,0,0
0.627094,0,0,0,0
0.628861,0,0,0,0
0.630615,0,0,0,0
0.632344,0,0,0,0
0.634082,0,0,0,0
0.635808,0,0,0,0
0.637751,0,0,0,0
0.639478,0,0,0,0
0.641208,0,0,0,0
0.642972,0,0,0,0
0.644699,0,0,0,0
0.646436,0,0,0,0
0.648179,0,0,0,0
0.649960,0,0,0,0
0.651690,0,0,0,0
0.653416,0,0,0,0
0.655157,0,0,0,0
0.656883,0,0,0,0
0.658623,0,0,0,0
0.660348,0,0,0,0
0.662098,0,0,0,0
0.663830,0,0,0,0
0.665556,0,0,0,0
0.667297,0,0,0,0
0.669096,0,0,0,0
0.670857,0,0,0,0
0.672587,0,0,0,0
0.674325,0,0,0,0
0.676051,0,0,0,0
0.677778,0,0,0,0
0.679506,0,0,0,0
0.681234,0,0,0,0
0.682996,0,0,0,0
0.684723,0,0,0,0
0.686462,0,0,0,0
0.688190,0,0,0,0
0.689993,0,0,0,0
0.691730,0,0,0,0
0.693455,0,0,0,0
0.695199,0,0,0,0
0.696926,0,0,0,0
0.698664,0,0,0,0
0.700390,0,0,0,0
0.702134,0,0,0,0
0.703870,0,0,0,0
0.705597,0,0,0,0
0.707338,0,0,0,0
0.709112,0,0,0,0
0.710879,0,0,0,0
0.712606,0,0,0,0
0.714347,0,0,0,0
0.716072,0,0,0,0
0.717817,0,0,0,0
0.719542,0,0,0,0
0.721270,0,0,0,0
0.723036,0,0,0,0
0.724767,0,0,0,0
0.726510,0,0,0,0
0.728239,0,0,0,0
0.730057,0,0,0,0
0.732502,0,0,0,0
0.734949,0,0,0,0
0.737355,0,0,0,0
0.739766,0,0,0,0
0.742194,0,0,0,0
0.744619,0,0,0,0
0.747032,0,0,0,0
0.749454,0,0,0,0
0.751917,0,0,0,0
0.754340,0,0,0,0
0.756749,0,0,0,0
0.759204,0,0,0,0
0.761606,0,0,0,0
0.764021,0,0,0,0
0.766435,0,0,0,0
0.768844,0,0,0,0
0.771336,0,0,0,0
0.773744,0,0,0,0
0.776145,0,0,0,0
0.778598,0,0,0,0
0.780979,0,0,0,0
0.783466,0,0,0,0
0.785943,0,0,0,0
0.788320,0,0,0,0
0.790797,0,0,0,0
0.793198,0,0,0,0
0.795630,0,0,0,0
0.798041,0,0,0,0
0.800436,0,0,0,0
0.802982,0,0,0,0
0.805369,0,0,0,0
0.807814,0,0,0,0
0.810284,0,0,0,0
0.812692,0,0,0,0
0.815138,0,0,0,0
0.817570,0,0,0,0
0.819989,0,0,0,0
0.822445,0,0,0,0
0.824894,0,0,0,0
0.827357,0,0,0,0
0.829796,0,0,0,0
0.832242,0,0,0,0
0.834676,0,0,0,0
0.837085,0,0,0,0
0.839533,0,0,0,0
0.841974,0,0,0,0
