time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU1_L0,GPU1_L1,GPU1_L2,GPU1_L3,GPU2_L0,GPU2_L1,GPU2_L2,GPU2_L3,GPU2_L4,GPU3_L0,GPU3_L1,GPU3_L2,GPU3_L3,GPU3_L4
0.230957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.234513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.238074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.241659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.245205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.248783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.252338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.255892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.259473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.263056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.266615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.273734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.277277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.284542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.288116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.291671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.295230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.298804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.302396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.305953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.309523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.313076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.316652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.323817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.327375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.334497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.338054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.341711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.345257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.348836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.352390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.355944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.359521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.363110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.366664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.370247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.373798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.377341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.384508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.388084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.391642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.395199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.398762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.402365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.405926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.409486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.413045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.416601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.420188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.423763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.427319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.430898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.434452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.438024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.441621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.445166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.448746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.452303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.455858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.459437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.463028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.466584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.470171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.473715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.477257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.481091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.484651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.488212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.491778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.495340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.498900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.502515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.506075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.509635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.513179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.516733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.520314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.523900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.527457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.531031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.534587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.538145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.541746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.545288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.548866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.552422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.555980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.559543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.563153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.566709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.570290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.573844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.577387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.584547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.588109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.591684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.595243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.598804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.602424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.605990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.609551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.613105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.616908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.620480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.624073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.627630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.631203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.634758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.638317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
