time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU0_L4,GPU0_L5
0.529418,0,0,0,0,0,0
0.532080,0,0,0,0,0,0
0.534691,0,0,0,0,0,0
0.537204,0,0,0,0,0,0
0.539702,0,0,0,0,0,0
0.542208,0,0,0,0,0,0
0.544723,0,0,0,0,0,0
0.547201,0,0,0,0,0,0
0.549712,0,0,0,0,0,0
0.553363,0,0,0,0,0,0
0.555824,0,0,0,0,0,0
0.558324,0,0,0,0,0,0
0.561209,0,0,0,0,0,0
0.565178,0,0,0,0,0,0
0.567713,0,0,0,0,0,0
0.571431,0,0,0,0,0,0
0.575327,0,0,0,0,0,0
0.578954,0,0,0,0,0,0
0.582734,0,0,0,0,0,0
0.586346,0,0,0,0,0,0
0.591199,0,0,0,0,0,0
0.594400,0,0,0,0,0,0
0.597723,0,0,0,0,0,0
0.601029,0,0,0,0,0,0
0.604359,0,0,0,0,0,0
0.607546,0,0,0,0,0,0
0.611880,0,0,0,0,0,0
0.615054,0,0,0,0,0,0
0.618193,0,0,0,0,0,0
0.621264,0,0,0,0,0,0
0.624714,0,0,0,0,0,0
0.627799,0,0,0,0,0,0
0.631967,0,0,0,0,0,0
0.634943,0,0,0,0,0,0
0.637950,0,0,0,0,0,0
0.640937,0,0,0,0,0,0
0.643870,0,0,0,0,0,0
0.646751,0,0,0,0,0,0
0.649764,0,0,0,0,0,0
0.652667,0,0,0,0,0,0
0.655560,0,0,0,0,0,0
0.658445,0,0,0,0,0,0
0.661342,0,0,0,0,0,0
0.664267,0,0,0,0,0,0
0.667174,0,0,0,0,0,0
0.670013,0,0,0,0,0,0
0.672858,0,0,0,0,0,0
0.675676,0,0,0,0,0,0
0.678495,0,0,0,0,0,0
0.681317,0,0,0,0,0,0
0.684258,0,0,0,0,0,0
0.687061,0,0,0,0,0,0
0.689999,0,0,0,0,0,0
0.692842,0,0,0,0,0,0
0.695677,0,0,0,0,0,0
0.698481,0,0,0,0,0,0
0.701312,0,0,0,0,0,0
0.704141,0,0,0,0,0,0
0.706939,0,0,0,0,0,0
0.709765,0,0,0,0,0,0
0.712583,0,0,0,0,0,0
0.715323,0,0,0,0,0,0
0.718069,0,0,0,0,0,0
0.720825,0,0,0,0,0,0
0.723589,0,0,0,0,0,0
0.726255,0,0,0,0,0,0
0.728950,0,0,0,0,0,0
0.731635,0,0,0,0,0,0
0.734328,0,0,0,0,0,0
0.736998,0,0,0,0,0,0
0.739662,0,0,0,0,0,0
0.742275,0,0,0,0,0,0
0.744927,0,0,0,0,0,0
0.747566,0,0,0,0,0,0
0.750134,0,0,0,0,0,0
0.752730,0,0,0,0,0,0
0.755326,0,0,0,0,0,0
0.757906,0,0,0,0,0,0
0.760480,0,0,0,0,0,0
0.763046,0,0,0,0,0,0
0.765593,0,0,0,0,0,0
0.768069,0,0,0,0,0,0
0.770581,0,0,0,0,0,0
0.773064,0,0,0,0,0,0
0.775578,0,0,0,0,0,0
0.778057,0,0,0,0,0,0
0.780589,0,0,0,0,0,0
0.783078,0,0,0,0,0,0
0.785603,0,0,0,0,0,0
0.788077,0,0,0,0,0,0
0.790580,0,0,0,0,0,0
0.793004,0,0,0,0,0,0
0.795963,0,0,0,0,0,0
0.799709,0,0,0,0,0,0
0.803317,0,0,0,0,0,0
0.807345,0,0,0,0,0,0
0.810950,0,0,0,0,0,0
0.814481,0,0,0,0,0,0
0.817949,0,0,0,0,0,0
0.821434,0,0,0,0,0,0
0.824897,0,0,0,0,0,0
0.828359,0,0,0,0,0,0
0.831691,0,0,0,0,0,0
0.834980,0,0,0,0,0,0
0.838312,0,0,0,0,0,0
0.841580,0,0,0,0,0,0
0.844791,0,0,0,0,0,0
0.847991,0,0,0,0,0,0
0.851168,0,0,0,0,0,0
0.854278,0,0,0,0,0,0
0.857368,0,0,0,0,0,0
0.860468,0,0,0,0,0,0
0.863565,0,0,0,0,0,0
0.866553,0,0,0,0,0,0
0.869555,0,0,0,0,0,0
0.872773,0,0,0,0,0,0
0.875978,0,0,0,0,0,0
0.878955,0,0,0,0,0,0
0.881923,0,0,0,0,0,0
0.884842,0,0,0,0,0,0
0.887742,0,0,0,0,0,0
0.890626,0,0,0,0,0,0
0.893519,0,0,0,0,0,0
0.896363,0,0,0,0,0,0
0.899173,0,0,0,0,0,0
0.902022,0,0,0,0,0,0
0.904890,0,0,0,0,0,0
0.907738,0,0,0,0,0,0
0.910488,0,0,0,0,0,0
0.914180,0,0,0,0,0,0
0.916954,0,0,0,0,0,0
0.919686,0,0,0,0,0,0
0.922393,0,0,0,0,0,0
0.925157,0,0,0,0,0,0
0.927857,0,0,0,0,0,0
0.930494,0,0,0,0,0,0
0.934280,0,0,0,0,0,0
0.937036,0,0,0,0,0,0
0.939726,0,0,0,0,0,0
0.942401,0,0,0,0,0,0
0.945094,0,0,0,0,0,0
0.947776,0,0,0,0,0,0
0.950397,0,0,0,0,0,0
0.953857,0,0,0,0,0,0
0.956593,0,0,0,0,0,0
0.959207,0,0,0,0,0,0
0.961817,0,0,0,0,0,0
0.964442,0,0,0,0,0,0
0.967043,0,0,0,0,0,0
0.969635,0,0,0,0,0,0
0.972966,0,0,0,0,0,0
0.975533,0,0,0,0,0,0
0.978073,0,0,0,0,0,0
0.980618,0,0,0,0,0,0
0.983000,0,0,0,0,0,0
0.985418,0,0,0,0,0,0
0.987802,0,0,0,0,0,0
0.990185,0,0,0,0,0,0
0.993334,0,0,0,0,0,0
0.995730,0,0,0,0,0,0
0.998102,0,0,0,0,0,0
1.000521,0,0,0,0,0,0
1.002898,0,0,0,0,0,0
1.005305,0,0,0,0,0,0
1.007690,0,0,0,0,0,0
1.010068,0,0,0,0,0,0
1.012467,0,0,0,0,0,0
1.014853,0,0,0,0,0,0
