Time(sec),sum,GPU0_L0_rx,GPU0_L0_tx,GPU0_L1_rx,GPU0_L1_tx,GPU0_L2_rx,GPU0_L2_tx,GPU0_L3_rx,GPU0_L3_tx,GPU1_L0_rx,GPU1_L0_tx,GPU1_L1_rx,GPU1_L1_tx,GPU1_L2_rx,GPU1_L2_tx,GPU1_L3_rx,GPU1_L3_tx,GPU2_L0_rx,GPU2_L0_tx,GPU2_L1_rx,GPU2_L1_tx,GPU2_L2_rx,GPU2_L2_tx,GPU2_L3_rx,GPU2_L3_tx,GPU2_L4_rx,GPU2_L4_tx,GPU3_L0_rx,GPU3_L0_tx,GPU3_L1_rx,GPU3_L1_tx,GPU3_L2_rx,GPU3_L2_tx,GPU3_L3_rx,GPU3_L3_tx,GPU3_L4_rx,GPU3_L4_tx
48.755553,593904256000.000000,13495560000.000000,13508616000.000000,24968656000.000000,25023336000.000000,24953120000.000000,25020448000.000000,13495552000.000000,13508784000.000000,25020448000.000000,24953120000.000000,24509872000.000000,24476464000.000000,11243728000.000000,11243744000.000000,11243680000.000000,11243416000.000000,11243744000.000000,11243728000.000000,25023336000.000000,24968656000.000000,12262648000.000000,12246104000.000000,11243416000.000000,11243680000.000000,12262504000.000000,12245896000.000000,12246104000.000000,12262648000.000000,24476464000.000000,24509872000.000000,13508616000.000000,13495560000.000000,12245896000.000000,12262504000.000000,13508784000.000000,13495552000.000000
49.296080,607588896000.000000,13768368000.000000,13836976000.000000,25607376000.000000,25615704000.000000,25587384000.000000,25608592000.000000,13768360000.000000,13837120000.000000,25608592000.000000,25587384000.000000,24948344000.000000,25091232000.000000,11521568000.000000,11519072000.000000,11521528000.000000,11518728000.000000,11519072000.000000,11521568000.000000,25615704000.000000,25607376000.000000,12465208000.000000,12557032000.000000,11518728000.000000,11521528000.000000,12465040000.000000,12556816000.000000,12557032000.000000,12465208000.000000,25091232000.000000,24948344000.000000,13836976000.000000,13768368000.000000,12556816000.000000,12465040000.000000,13837120000.000000,13768360000.000000
49.836192,623354000000.000000,14164848000.000000,14178368000.000000,26207792000.000000,26263104000.000000,26191488000.000000,26260112000.000000,14164864000.000000,14178528000.000000,26260112000.000000,26191488000.000000,25724416000.000000,25691000000.000000,11801272000.000000,11801288000.000000,11801216000.000000,11800944000.000000,11801288000.000000,11801272000.000000,26263104000.000000,26207792000.000000,12870304000.000000,12853760000.000000,11800944000.000000,11801216000.000000,12870152000.000000,12853544000.000000,12853760000.000000,12870304000.000000,25691000000.000000,25724416000.000000,14178368000.000000,14164848000.000000,12853544000.000000,12870152000.000000,14178528000.000000,14164864000.000000
50.376904,634349328000.000000,14387944000.000000,14510992000.000000,26620832000.000000,26862024000.000000,26604280000.000000,26858248000.000000,14387968000.000000,14511160000.000000,26858248000.000000,26604280000.000000,26129288000.000000,26095848000.000000,11987136000.000000,11987136000.000000,11987072000.000000,11986784000.000000,11987136000.000000,11987136000.000000,26862024000.000000,26620832000.000000,13072856000.000000,13056304000.000000,11986784000.000000,11987072000.000000,13072696000.000000,13056096000.000000,13056304000.000000,13072856000.000000,26095848000.000000,26129288000.000000,14510992000.000000,14387944000.000000,13056096000.000000,13072696000.000000,14511160000.000000,14387968000.000000
50.931111,655113808000.000000,14867016000.000000,14886024000.000000,27638880000.000000,27612200000.000000,27529144000.000000,27601192000.000000,14867024000.000000,14888624000.000000,27617968000.000000,27529280000.000000,26972568000.000000,26981072000.000000,12436592000.000000,12358840000.000000,12436528000.000000,12358464000.000000,12358840000.000000,12436592000.000000,27612232000.000000,27638880000.000000,13477952000.000000,13554776000.000000,12358464000.000000,12436528000.000000,13477808000.000000,13554584000.000000,13554776000.000000,13477952000.000000,26981072000.000000,26972568000.000000,14927992000.000000,14867016000.000000,13554584000.000000,13477808000.000000,14928168000.000000,14883800000.000000
51.469940,669561248000.000000,15171976000.000000,15288240000.000000,28100912000.000000,28107952000.000000,28099856000.000000,28108960000.000000,15171984000.000000,15288400000.000000,28108960000.000000,28099856000.000000,27538720000.000000,27668008000.000000,12658096000.000000,12660120000.000000,12658024000.000000,12685936000.000000,12686336000.000000,12658096000.000000,28235504000.000000,28145016000.000000,13823248000.000000,13866496000.000000,12702776000.000000,12658024000.000000,13827280000.000000,13866304000.000000,13866496000.000000,13827448000.000000,27677448000.000000,27561880000.000000,15290392000.000000,15234176000.000000,13866304000.000000,13827280000.000000,15290560000.000000,15234184000.000000
52.012891,685288912000.000000,15603640000.000000,15597776000.000000,28907504000.000000,28852048000.000000,28668232000.000000,28857632000.000000,15603680000.000000,15597904000.000000,28857632000.000000,28668232000.000000,28309072000.000000,28120080000.000000,13005992000.000000,12916376000.000000,13005904000.000000,12916000000.000000,12916376000.000000,13005992000.000000,28852048000.000000,28907504000.000000,14167472000.000000,14174000000.000000,12916000000.000000,13005904000.000000,14167296000.000000,14173816000.000000,14174000000.000000,14167472000.000000,28120080000.000000,28309136000.000000,15597776000.000000,15603640000.000000,14173816000.000000,14167296000.000000,15597904000.000000,15603680000.000000
52.552274,701886984000.000000,15949632000.000000,15964392000.000000,29512144000.000000,29569304000.000000,29493808000.000000,29565904000.000000,15949672000.000000,15964560000.000000,29565904000.000000,29493808000.000000,28963176000.000000,28929768000.000000,13288048000.000000,13288056000.000000,13287960000.000000,13287696000.000000,13288056000.000000,13288048000.000000,29569312000.000000,29512144000.000000,14490720000.000000,14474144000.000000,13287696000.000000,13287960000.000000,14490544000.000000,14473960000.000000,14474144000.000000,14490720000.000000,28929768000.000000,28963176000.000000,15964392000.000000,15949632000.000000,14473960000.000000,14490544000.000000,15964560000.000000,15949672000.000000
53.093243,716242352000.000000,16268728000.000000,16292728000.000000,30144544000.000000,30161680000.000000,30132288000.000000,30154040000.000000,16268736000.000000,16292920000.000000,30154040000.000000,30132288000.000000,29504720000.000000,29552544000.000000,13561168000.000000,13566032000.000000,13561064000.000000,13565680000.000000,13566032000.000000,13561168000.000000,30161680000.000000,30144544000.000000,14765680000.000000,14781648000.000000,13565680000.000000,13561064000.000000,14765496000.000000,14781480000.000000,14781648000.000000,14765680000.000000,29552544000.000000,29504720000.000000,16292728000.000000,16268728000.000000,14781480000.000000,14765496000.000000,16292920000.000000,16268736000.000000
53.639807,733541840000.000000,16668664000.000000,16634120000.000000,30850696000.000000,30809112000.000000,30899336000.000000,30805560000.000000,16668656000.000000,16634344000.000000,30805560000.000000,30907160000.000000,30244920000.000000,30303776000.000000,13896096000.000000,13909600000.000000,13896008000.000000,13909232000.000000,13909600000.000000,13896096000.000000,30809112000.000000,30917808000.000000,15136136000.000000,15157328000.000000,13909232000.000000,13896008000.000000,15135952000.000000,15157136000.000000,15157328000.000000,15136136000.000000,30303776000.000000,30278480000.000000,16634120000.000000,16668664000.000000,15157136000.000000,15135952000.000000,16634344000.000000,16668656000.000000
54.179839,747940688000.000000,16956200000.000000,17046192000.000000,31393112000.000000,31508792000.000000,31373240000.000000,31509880000.000000,16956176000.000000,17046448000.000000,31509880000.000000,31373240000.000000,30936944000.000000,30871384000.000000,14182360000.000000,14142104000.000000,14182264000.000000,14141736000.000000,14142104000.000000,14182360000.000000,31508792000.000000,31393112000.000000,15432856000.000000,15428560000.000000,14141736000.000000,14182264000.000000,15432680000.000000,15428360000.000000,15428560000.000000,15432856000.000000,30871384000.000000,30939056000.000000,17046192000.000000,16956200000.000000,15428360000.000000,15432680000.000000,17046448000.000000,16956176000.000000
54.721603,763028352000.000000,17288248000.000000,17405800000.000000,31990416000.000000,32212792000.000000,32187736000.000000,32201192000.000000,17288264000.000000,17406072000.000000,32201192000.000000,32187736000.000000,31392256000.000000,31566656000.000000,14403136000.000000,14489176000.000000,14403024000.000000,14488840000.000000,14489176000.000000,14403136000.000000,32212792000.000000,31990416000.000000,15706032000.000000,15689448000.000000,14488840000.000000,14403024000.000000,15705824000.000000,15689264000.000000,15689448000.000000,15706032000.000000,31566656000.000000,31392256000.000000,17405800000.000000,17288248000.000000,15689264000.000000,15705824000.000000,17406072000.000000,17288264000.000000
55.264546,779063416000.000000,17734456000.000000,17750312000.000000,32816504000.000000,32875336000.000000,32796128000.000000,32671224000.000000,17734456000.000000,17750568000.000000,32671224000.000000,32796128000.000000,31998328000.000000,32126032000.000000,14688760000.000000,14765352000.000000,14688656000.000000,14765040000.000000,14765352000.000000,14688760000.000000,32875336000.000000,32816504000.000000,16106952000.000000,16078520000.000000,14765040000.000000,14688656000.000000,16106720000.000000,16078360000.000000,16078520000.000000,16106952000.000000,32126040000.000000,31998328000.000000,17750312000.000000,17734456000.000000,16078360000.000000,16106720000.000000,17750568000.000000,17734456000.000000
55.812384,795013576000.000000,18067224000.000000,18078712000.000000,33455224000.000000,33467840000.000000,33430400000.000000,33464544000.000000,18067232000.000000,18078976000.000000,33464544000.000000,33430400000.000000,32781328000.000000,32788032000.000000,15052928000.000000,15052232000.000000,15052816000.000000,15051896000.000000,15052232000.000000,15052928000.000000,33467840000.000000,33455240000.000000,16403160000.000000,16405456000.000000,15051896000.000000,15052816000.000000,16402944000.000000,16405304000.000000,16405456000.000000,16403160000.000000,32788032000.000000,32781328000.000000,18078712000.000000,18067224000.000000,16405304000.000000,16402944000.000000,18078976000.000000,18068296000.000000
56.351930,810089728000.000000,18403752000.000000,18458024000.000000,34055640000.000000,34115440000.000000,34034504000.000000,34145344000.000000,18403752000.000000,18458280000.000000,34145344000.000000,34034504000.000000,33416488000.000000,33383072000.000000,15332376000.000000,15332344000.000000,15332264000.000000,15332008000.000000,15332344000.000000,15332376000.000000,34115440000.000000,34055640000.000000,16718808000.000000,16702176000.000000,15332008000.000000,15332264000.000000,16718552000.000000,16702040000.000000,16702176000.000000,16718808000.000000,33383072000.000000,33416488000.000000,18458024000.000000,18403752000.000000,16702040000.000000,16718552000.000000,18458280000.000000,18403752000.000000
56.890407,823319136000.000000,18740224000.000000,18752760000.000000,34695456000.000000,34712968000.000000,34447288000.000000,34709464000.000000,18740232000.000000,18752984000.000000,34709464000.000000,34447288000.000000,34005864000.000000,33787920000.000000,15611056000.000000,15518200000.000000,15610952000.000000,15517848000.000000,15518200000.000000,15611056000.000000,34712968000.000000,34695456000.000000,17014080000.000000,17014280000.000000,15517848000.000000,15610952000.000000,17013832000.000000,17014160000.000000,17014280000.000000,17014080000.000000,33787920000.000000,34005864000.000000,18752760000.000000,18740224000.000000,17014160000.000000,17013832000.000000,18752984000.000000,18740232000.000000
57.437091,841529512000.000000,19164808000.000000,19127792000.000000,35478272000.000000,35355248000.000000,35272872000.000000,35418592000.000000,19164800000.000000,19128032000.000000,35418592000.000000,35272872000.000000,34767712000.000000,34597608000.000000,15958232000.000000,15889888000.000000,15958136000.000000,15889536000.000000,15889888000.000000,15958232000.000000,35355248000.000000,35486664000.000000,17394664000.000000,17398992000.000000,15889536000.000000,15958136000.000000,17394408000.000000,17398872000.000000,17398992000.000000,17394664000.000000,34597608000.000000,34767712000.000000,19127792000.000000,19164808000.000000,17403064000.000000,17394408000.000000,19128032000.000000,19164800000.000000
