time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU0_L4,GPU0_L5
1.771428,0,0,0,0,0,0
1.778950,0,0,0,0,0,0
1.793372,0,0,0,0,0,0
1.805737,0,0,0,0,0,0
1.819008,0,0,0,0,0,0
1.832236,0,0,0,0,0,0
1.843816,0,0,0,0,0,0
1.854315,0,0,0,0,0,0
1.867196,0,0,0,0,0,0
1.880371,0,0,0,0,0,0
1.890228,0,0,0,0,0,0
1.906051,0,0,0,0,0,0
1.918103,0,0,0,0,0,0
1.933305,0,0,0,0,0,0
1.947312,0,0,0,0,0,0
1.958752,0,0,0,0,0,0
1.972885,0,0,0,0,0,0
1.984427,0,0,0,0,0,0
1.997599,0,0,0,0,0,0
2.010423,0,0,0,0,0,0
2.019931,0,0,0,0,0,0
2.032423,0,0,0,0,0,0
2.043176,0,0,0,0,0,0
2.057852,0,0,0,0,0,0
2.066450,0,0,0,0,0,0
2.074678,0,0,0,0,0,0
2.078253,0,0,0,0,0,0
2.083514,0,0,0,0,0,0
2.087414,0,0,0,0,0,0
2.090892,0,0,0,0,0,0
2.095646,0,0,0,0,0,0
2.101217,0,0,0,0,0,0
2.108952,0,0,0,0,0,0
2.116892,0,0,0,0,0,0
2.124912,0,0,0,0,0,0
2.134365,0,0,0,0,0,0
2.147871,0,0,0,0,0,0
2.160909,0,0,0,0,0,0
2.174839,0,0,0,0,0,0
2.187524,0,0,0,0,0,0
2.199972,0,0,0,0,0,0
2.208389,0,0,0,0,0,0
2.224176,0,0,0,0,0,0
2.239436,0,0,0,0,0,0
2.250668,0,0,0,0,0,0
2.264959,0,0,0,0,0,0
2.277612,0,0,0,0,0,0
2.291659,0,0,0,0,0,0
2.306262,0,0,0,0,0,0
2.317034,0,0,0,0,0,0
2.331138,0,0,0,0,0,0
2.342279,0,0,0,0,0,0
2.355107,0,0,0,0,0,0
2.368431,0,0,0,0,0,0
2.378558,0,0,0,0,0,0
2.391206,0,0,0,0,0,0
2.401355,0,0,0,0,0,0
2.416935,0,0,0,0,0,0
2.428797,0,0,0,0,0,0
2.436877,0,0,0,0,0,0
2.440508,0,0,0,0,0,0
2.446308,0,0,0,0,0,0
2.450340,0,0,0,0,0,0
2.455165,0,0,0,0,0,0
2.458609,0,0,0,0,0,0
2.462389,0,0,0,0,0,0
2.468725,0,0,0,0,0,0
2.477021,0,0,0,0,0,0
2.484411,0,0,0,0,0,0
2.491634,0,0,0,0,0,0
2.499530,0,0,0,0,0,0
2.509054,0,0,0,0,0,0
2.520620,0,0,0,0,0,0
2.531835,0,0,0,0,0,0
2.538019,0,0,0,0,0,0
2.541954,0,0,0,0,0,0
2.552164,0,0,0,0,0,0
2.565186,0,0,0,0,0,0
2.576441,0,0,0,0,0,0
2.587810,0,0,0,0,0,0
2.601868,0,0,0,0,0,0
2.613444,0,0,0,0,0,0
2.625310,0,0,0,0,0,0
2.638056,0,0,0,0,0,0
2.647720,0,0,0,0,0,0
2.660422,0,0,0,0,0,0
2.675130,0,0,0,0,0,0
2.686383,0,0,0,0,0,0
2.700681,0,0,0,0,0,0
2.711266,0,0,0,0,0,0
2.725233,0,0,0,0,0,0
2.739551,0,0,0,0,0,0
2.750801,0,0,0,0,0,0
2.765301,0,0,0,0,0,0
2.776099,0,0,0,0,0,0
2.791443,0,0,0,0,0,0
2.801902,0,0,0,0,0,0
