time(sec),GPU0_L0,GPU0_L1,GPU0_L2,GPU0_L3,GPU0_L4,GPU0_L5
0.558803,0,0,0,0,0,0
0.562259,0,0,0,0,0,0
0.567073,0,0,0,0,0,0
0.572892,0,0,0,0,0,0
0.576427,0,0,0,0,0,0
0.580037,0,0,0,0,0,0
0.583667,0,0,0,0,0,0
0.589700,0,0,0,0,0,0
0.593730,0,0,0,0,0,0
0.596592,0,0,0,0,0,0
0.599400,0,0,0,0,0,0
0.602176,0,0,0,0,0,0
0.606396,0,0,0,0,0,0
0.611913,0,0,0,0,0,0
0.614715,0,0,0,0,0,0
0.617503,0,0,0,0,0,0
0.620299,0,0,0,0,0,0
0.623104,0,0,0,0,0,0
0.625835,0,0,0,0,0,0
0.631082,0,0,0,0,0,0
0.633793,0,0,0,0,0,0
0.636940,0,0,0,0,0,0
0.639606,0,0,0,0,0,0
0.642527,0,0,0,0,0,0
0.645190,0,0,0,0,0,0
0.647878,0,0,0,0,0,0
0.650496,0,0,0,0,0,0
0.653084,0,0,0,0,0,0
0.655695,0,0,0,0,0,0
0.658285,0,0,0,0,0,0
0.660868,0,0,0,0,0,0
0.663432,0,0,0,0,0,0
0.668979,0,0,0,0,0,0
0.671635,0,0,0,0,0,0
0.674023,0,0,0,0,0,0
0.676440,0,0,0,0,0,0
0.678848,0,0,0,0,0,0
0.681236,0,0,0,0,0,0
0.683643,0,0,0,0,0,0
0.689167,0,0,0,0,0,0
0.691667,0,0,0,0,0,0
0.694132,0,0,0,0,0,0
0.696654,0,0,0,0,0,0
0.699147,0,0,0,0,0,0
0.701814,0,0,0,0,0,0
0.704333,0,0,0,0,0,0
0.711095,0,0,0,0,0,0
0.713572,0,0,0,0,0,0
0.716118,0,0,0,0,0,0
0.718766,0,0,0,0,0,0
0.721263,0,0,0,0,0,0
0.723705,0,0,0,0,0,0
0.729248,0,0,0,0,0,0
0.731774,0,0,0,0,0,0
0.734289,0,0,0,0,0,0
0.736805,0,0,0,0,0,0
0.739330,0,0,0,0,0,0
0.741826,0,0,0,0,0,0
0.744358,0,0,0,0,0,0
0.748785,0,0,0,0,0,0
0.752130,0,0,0,0,0,0
0.755456,0,0,0,0,0,0
0.758781,0,0,0,0,0,0
0.761973,0,0,0,0,0,0
0.765169,0,0,0,0,0,0
0.770702,0,0,0,0,0,0
0.774257,0,0,0,0,0,0
0.777866,0,0,0,0,0,0
0.781484,0,0,0,0,0,0
0.785133,0,0,0,0,0,0
0.791018,0,0,0,0,0,0
0.794491,0,0,0,0,0,0
0.797914,0,0,0,0,0,0
0.801360,0,0,0,0,0,0
0.804811,0,0,0,0,0,0
0.808620,0,0,0,0,0,0
0.813233,0,0,0,0,0,0
0.816626,0,0,0,0,0,0
0.820392,0,0,0,0,0,0
0.823561,0,0,0,0,0,0
0.826717,0,0,0,0,0,0
0.830584,0,0,0,0,0,0
0.835285,0,0,0,0,0,0
0.839168,0,0,0,0,0,0
0.842907,0,0,0,0,0,0
0.846620,0,0,0,0,0,0
0.850287,0,0,0,0,0,0
0.855332,0,0,0,0,0,0
0.857978,0,0,0,0,0,0
0.861461,0,0,0,0,0,0
0.865220,0,0,0,0,0,0
0.870046,0,0,0,0,0,0
0.874838,0,0,0,0,0,0
0.878329,0,0,0,0,0,0
0.881835,0,0,0,0,0,0
0.885446,0,0,0,0,0,0
0.893529,0,0,0,0,0,0
0.898280,0,0,0,0,0,0
0.903125,0,0,0,0,0,0
0.908856,0,0,0,0,0,0
0.915488,0,0,0,0,0,0
0.919650,0,0,0,0,0,0
0.923900,0,0,0,0,0,0
0.930250,0,0,0,0,0,0
0.935609,0,0,0,0,0,0
0.939724,0,0,0,0,0,0
0.943658,0,0,0,0,0,0
0.947788,0,0,0,0,0,0
0.951259,0,0,0,0,0,0
0.954465,0,0,0,0,0,0
0.957083,0,0,0,0,0,0
0.959707,0,0,0,0,0,0
0.962264,0,0,0,0,0,0
0.964845,0,0,0,0,0,0
0.968306,0,0,0,0,0,0
0.971625,0,0,0,0,0,0
0.974022,0,0,0,0,0,0
0.976427,0,0,0,0,0,0
0.978826,0,0,0,0,0,0
0.981211,0,0,0,0,0,0
0.983614,0,0,0,0,0,0
0.985977,0,0,0,0,0,0
0.988438,0,0,0,0,0,0
0.992321,0,0,0,0,0,0
0.994742,0,0,0,0,0,0
0.997134,0,0,0,0,0,0
0.999537,0,0,0,0,0,0
1.001926,0,0,0,0,0,0
1.004330,0,0,0,0,0,0
1.006751,0,0,0,0,0,0
1.009159,0,0,0,0,0,0
1.012411,0,0,0,0,0,0
1.014814,0,0,0,0,0,0
1.017204,0,0,0,0,0,0
1.019606,0,0,0,0,0,0
1.021995,0,0,0,0,0,0
1.024397,0,0,0,0,0,0
1.026821,0,0,0,0,0,0
1.029236,0,0,0,0,0,0
1.032495,0,0,0,0,0,0
1.034896,0,0,0,0,0,0
1.037288,0,0,0,0,0,0
1.039687,0,0,0,0,0,0
1.042075,0,0,0,0,0,0
1.044475,0,0,0,0,0,0
1.046894,0,0,0,0,0,0
1.049316,0,0,0,0,0,0
1.052634,0,0,0,0,0,0
1.055038,0,0,0,0,0,0
1.057430,0,0,0,0,0,0
1.059829,0,0,0,0,0,0
1.062220,0,0,0,0,0,0
1.064624,0,0,0,0,0,0
1.067047,0,0,0,0,0,0
1.069481,0,0,0,0,0,0
1.072628,0,0,0,0,0,0
1.075033,0,0,0,0,0,0
1.077426,0,0,0,0,0,0
1.079825,0,0,0,0,0,0
1.082213,0,0,0,0,0,0
1.084633,0,0,0,0,0,0
1.087053,0,0,0,0,0,0
1.090212,0,0,0,0,0,0
1.093382,0,0,0,0,0,0
